region,Resource,zone,Cluster,R_ID,SubsidyRevenue
ES1 7,ES1 7 solar,28,0,211,0.0
ES1 8,ES1 8 nuclear,29,0,212,0.0
ES1 8,ES1 8 onwind,29,0,213,0.0
ES1 8,ES1 8 solar,29,0,214,0.0
ES4 0,ES4 0 CCGT,30,0,215,0.0
ES4 0,ES4 0 coal,30,0,216,0.0
ES4 0,ES4 0 oil,30,0,217,0.0
ES4 0,ES4 0 onwind,30,0,218,0.0
ES4 0,ES4 0 solar,30,0,219,0.0
FR1 0,FR1 0 CCGT,31,0,220,0.0
FR1 0,FR1 0 nuclear,31,0,221,0.0
FR1 0,FR1 0 oil,31,0,222,0.0
FR1 0,FR1 0 onwind,31,0,223,0.0
FR1 0,FR1 0 solar,31,0,224,0.0
FR1 1,FR1 1 onwind,32,0,225,0.0
FR1 1,FR1 1 ror,32,0,226,0.0
FR1 1,FR1 1 solar,32,0,227,0.0
FR1 10,FR1 10 CCGT,33,0,228,0.0
FR1 10,FR1 10 nuclear,33,0,229,0.0
FR1 10,FR1 10 onwind,33,0,230,0.0
FR1 10,FR1 10 solar,33,0,231,0.0
FR1 11,FR1 11 nuclear,34,0,232,0.0
FR1 11,FR1 11 offwind-ac,34,0,233,0.0
FR1 11,FR1 11 onwind,34,0,234,0.0
FR1 11,FR1 11 ror,34,0,235,0.0
FR1 11,FR1 11 solar,34,0,236,0.0
FR1 12,FR1 12 onwind,35,0,237,0.0
FR1 12,FR1 12 ror,35,0,238,0.0
FR1 12,FR1 12 solar,35,0,239,0.0
FR1 13,FR1 13 coal,36,0,240,0.0
FR1 13,FR1 13 nuclear,36,0,241,0.0
FR1 13,FR1 13 offwind-ac,36,0,242,0.0
FR1 13,FR1 13 oil,36,0,243,0.0
FR1 13,FR1 13 onwind,36,0,244,0.0
FR1 13,FR1 13 solar,36,0,245,0.0
FR1 14,FR1 14 coal,37,0,246,0.0
FR1 14,FR1 14 nuclear,37,0,247,0.0
FR1 14,FR1 14 offwind-ac,37,0,248,0.0
FR1 14,FR1 14 offwind-dc,37,0,249,0.0
FR1 14,FR1 14 onwind,37,0,250,0.0
FR1 14,FR1 14 solar,37,0,251,0.0
FR1 15,FR1 15 onwind,38,0,252,0.0
FR1 15,FR1 15 solar,38,0,253,0.0
FR1 16,FR1 16 nuclear,39,0,254,0.0
FR1 16,FR1 16 onwind,39,0,255,0.0
FR1 16,FR1 16 ror,39,0,256,0.0
FR1 16,FR1 16 solar,39,0,257,0.0
FR1 17,FR1 17 nuclear,40,0,258,0.0
FR1 17,FR1 17 onwind,40,0,259,0.0
FR1 17,FR1 17 ror,40,0,260,0.0
FR1 17,FR1 17 solar,40,0,261,0.0
FR1 18,FR1 18 onwind,41,0,262,0.0
FR1 18,FR1 18 ror,41,0,263,0.0
FR1 18,FR1 18 solar,41,0,264,0.0
FR1 2,FR1 2 coal,42,0,265,0.0
FR1 2,FR1 2 nuclear,42,0,266,0.0
FR1 2,FR1 2 offwind-ac,42,0,267,0.0
FR1 2,FR1 2 oil,42,0,268,0.0
FR1 2,FR1 2 onwind,42,0,269,0.0
FR1 2,FR1 2 solar,42,0,270,0.0
FR1 3,FR1 3 CCGT,43,0,271,0.0
FR1 3,FR1 3 nuclear,43,0,272,0.0
FR1 3,FR1 3 offwind-ac,43,0,273,0.0
FR1 3,FR1 3 offwind-dc,43,0,274,0.0
FR1 3,FR1 3 onwind,43,0,275,0.0
FR1 3,FR1 3 solar,43,0,276,0.0
FR1 4,FR1 4 CCGT,44,0,277,0.0
FR1 4,FR1 4 coal,44,0,278,0.0
FR1 4,FR1 4 nuclear,44,0,279,0.0
FR1 4,FR1 4 onwind,44,0,280,0.0
FR1 4,FR1 4 solar,44,0,281,0.0
FR1 5,FR1 5 biomass,45,0,282,0.0
FR1 5,FR1 5 onwind,45,0,283,0.0
FR1 5,FR1 5 ror,45,0,284,0.0
FR1 5,FR1 5 solar,45,0,285,0.0
FR1 6,FR1 6 nuclear,46,0,286,0.0
FR1 6,FR1 6 onwind,46,0,287,0.0
FR1 6,FR1 6 ror,46,0,288,0.0
FR1 6,FR1 6 solar,46,0,289,0.0
FR1 7,FR1 7 CCGT,47,0,290,0.0
FR1 7,FR1 7 nuclear,47,0,291,0.0
FR1 7,FR1 7 oil,47,0,292,0.0
FR1 7,FR1 7 onwind,47,0,293,0.0
FR1 7,FR1 7 solar,47,0,294,0.0
FR1 8,FR1 8 offwind-ac,48,0,295,0.0
FR1 8,FR1 8 onwind,48,0,296,0.0
FR1 8,FR1 8 ror,48,0,297,0.0
FR1 8,FR1 8 solar,48,0,298,0.0
FR1 9,FR1 9 CCGT,49,0,299,0.0
FR1 9,FR1 9 coal,49,0,300,0.0
FR1 9,FR1 9 nuclear,49,0,301,0.0
FR1 9,FR1 9 onwind,49,0,302,0.0
FR1 9,FR1 9 ror,49,0,303,0.0
FR1 9,FR1 9 solar,49,0,304,0.0
GB0 0,GB0 0 onwind,50,0,305,0.0
GB0 0,GB0 0 solar,50,0,306,0.0
GB0 1,GB0 1 CCGT,51,0,307,0.0
GB0 1,GB0 1 biomass,51,0,308,0.0
GB0 1,GB0 1 coal,51,0,309,0.0
GB0 1,GB0 1 offwind-ac,51,0,310,0.0
GB0 1,GB0 1 offwind-dc,51,0,311,0.0
GB0 1,GB0 1 onwind,51,0,312,0.0
GB0 1,GB0 1 solar,51,0,313,0.0
GB0 10,GB0 10 offwind-ac,52,0,314,0.0
GB0 10,GB0 10 offwind-dc,52,0,315,0.0
GB0 10,GB0 10 onwind,52,0,316,0.0
GB0 10,GB0 10 ror,52,0,317,0.0
GB0 10,GB0 10 solar,52,0,318,0.0
GB0 11,GB0 11 CCGT,53,0,319,0.0
GB0 11,GB0 11 OCGT,53,0,320,0.0
GB0 11,GB0 11 offwind-ac,53,0,321,0.0
GB0 11,GB0 11 onwind,53,0,322,0.0
GB0 11,GB0 11 ror,53,0,323,0.0
GB0 11,GB0 11 solar,53,0,324,0.0
GB0 12,GB0 12 OCGT,54,0,325,0.0
GB0 12,GB0 12 nuclear,54,0,326,0.0
GB0 12,GB0 12 offwind-ac,54,0,327,0.0
GB0 12,GB0 12 offwind-dc,54,0,328,0.0
GB0 12,GB0 12 onwind,54,0,329,0.0
GB0 12,GB0 12 ror,54,0,330,0.0
GB0 12,GB0 12 solar,54,0,331,0.0
GB0 2,GB0 2 CCGT,55,0,332,0.0
GB0 2,GB0 2 offwind-ac,55,0,333,0.0
GB0 2,GB0 2 onwind,55,0,334,0.0
GB0 2,GB0 2 solar,55,0,335,0.0
GB0 3,GB0 3 CCGT,56,0,336,0.0
GB0 3,GB0 3 OCGT,56,0,337,0.0
GB0 3,GB0 3 biomass,56,0,338,0.0
GB0 3,GB0 3 offwind-ac,56,0,339,0.0
GB0 3,GB0 3 offwind-dc,56,0,340,0.0
GB0 3,GB0 3 onwind,56,0,341,0.0
GB0 3,GB0 3 ror,56,0,342,0.0
GB0 3,GB0 3 solar,56,0,343,0.0
GB0 4,GB0 4 CCGT,57,0,344,0.0
GB0 4,GB0 4 coal,57,0,345,0.0
GB0 4,GB0 4 nuclear,57,0,346,0.0
GB0 4,GB0 4 offwind-ac,57,0,347,0.0
GB0 4,GB0 4 onwind,57,0,348,0.0
GB0 4,GB0 4 ror,57,0,349,0.0
GB0 4,GB0 4 solar,57,0,350,0.0
GB0 5,GB0 5 CCGT,58,0,351,0.0
GB0 5,GB0 5 biomass,58,0,352,0.0
GB0 5,GB0 5 nuclear,58,0,353,0.0
GB0 5,GB0 5 offwind-ac,58,0,354,0.0
GB0 5,GB0 5 offwind-dc,58,0,355,0.0
GB0 5,GB0 5 onwind,58,0,356,0.0
GB0 5,GB0 5 ror,58,0,357,0.0
GB0 5,GB0 5 solar,58,0,358,0.0
GB0 6,GB0 6 CCGT,59,0,359,0.0
GB0 6,GB0 6 OCGT,59,0,360,0.0
GB0 6,GB0 6 coal,59,0,361,0.0
GB0 6,GB0 6 nuclear,59,0,362,0.0
GB0 6,GB0 6 offwind-ac,59,0,363,0.0
GB0 6,GB0 6 onwind,59,0,364,0.0
GB0 6,GB0 6 ror,59,0,365,0.0
GB0 6,GB0 6 solar,59,0,366,0.0
GB0 7,GB0 7 CCGT,60,0,367,0.0
GB0 7,GB0 7 biomass,60,0,368,0.0
GB0 7,GB0 7 nuclear,60,0,369,0.0
GB0 7,GB0 7 offwind-ac,60,0,370,0.0
GB0 7,GB0 7 offwind-dc,60,0,371,0.0
GB0 7,GB0 7 onwind,60,0,372,0.0
GB0 7,GB0 7 solar,60,0,373,0.0
GB0 8,GB0 8 CCGT,61,0,374,0.0
GB0 8,GB0 8 OCGT,61,0,375,0.0
GB0 8,GB0 8 offwind-ac,61,0,376,0.0
GB0 8,GB0 8 offwind-dc,61,0,377,0.0
GB0 8,GB0 8 oil,61,0,378,0.0
GB0 8,GB0 8 onwind,61,0,379,0.0
GB0 8,GB0 8 solar,61,0,380,0.0
GB0 9,GB0 9 CCGT,62,0,381,0.0
GB0 9,GB0 9 biomass,62,0,382,0.0
GB0 9,GB0 9 coal,62,0,383,0.0
GB0 9,GB0 9 nuclear,62,0,384,0.0
GB0 9,GB0 9 offwind-ac,62,0,385,0.0
GB0 9,GB0 9 onwind,62,0,386,0.0
GB0 9,GB0 9 solar,62,0,387,0.0
GB5 0,GB5 0 OCGT,63,0,388,0.0
GB5 0,GB5 0 coal,63,0,389,0.0
GB5 0,GB5 0 offwind-ac,63,0,390,0.0
GB5 0,GB5 0 offwind-dc,63,0,391,0.0
GB5 0,GB5 0 onwind,63,0,392,0.0
GB5 0,GB5 0 ror,63,0,393,0.0
GB5 0,GB5 0 solar,63,0,394,0.0
IT1 0,IT1 0 CCGT,64,0,395,0.0
