Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_43.0,43.0,0,5.545874075577522e-9,0.00014773968517299316,0.0001477341392989176
OCGT-H2_43.0,43.0,0,6.579024559811911e-9,2.9685689805169868e-5,2.9679110780610056e-5
CCGT-H2_44.0,44.0,0,5.510565373008008e-9,5.118024417377443e-5,5.117473360840142e-5
OCGT-H2_44.0,44.0,0,6.509553208420215e-9,2.442222882549469e-5,2.441571927228627e-5
CCGT-H2_45.0,45.0,0,5.505003585399269e-9,2.6539053337803973e-5,2.6533548334218575e-5
OCGT-H2_45.0,45.0,0,6.502349206342148e-9,2.0907293127134912e-5,2.0900790777928568e-5
CCGT-H2_46.0,46.0,0,5.5052095092352376e-9,2.0963353424273766e-5,2.0957848214764532e-5
OCGT-H2_46.0,46.0,0,6.503390377928583e-9,2.1911442925748217e-5,2.190493953537029e-5
CCGT-H2_47.0,47.0,0,5.513776779533692e-9,5.542533773633898e-5,5.541982395955945e-5
OCGT-H2_47.0,47.0,0,6.51764314214727e-9,2.4283728978904152e-5,2.4277211335762006e-5
CCGT-H2_48.0,48.0,0,5.504360836188856e-9,2.1950986996968545e-5,2.1945482636132358e-5
OCGT-H2_48.0,48.0,0,6.5064779040191314e-9,2.1990309973560154e-5,2.1983803495656135e-5
CCGT-H2_49.0,49.0,0,5.507523194230037e-9,2.6033849585290912e-5,2.602834206209668e-5
OCGT-H2_49.0,49.0,0,6.503967056135041e-9,2.0510582670056144e-5,2.0504078703000008e-5
CCGT-H2_50.0,50.0,0,5.514448354225433e-9,6.575404303127991e-5,6.574852858292569e-5
OCGT-H2_50.0,50.0,0,6.5176043523082786e-9,2.5658088579342822e-5,2.5651570974990513e-5
CCGT-H2_51.0,51.0,0,5.546500021725887e-9,0.00010758364171528546,0.00010757809521526374
OCGT-H2_51.0,51.0,0,6.57663248147007e-9,3.034558552351116e-5,3.0339008891029692e-5
CCGT-H2_52.0,52.0,0,5.5122609824290795e-9,5.071973124021547e-5,5.071421897923304e-5
OCGT-H2_52.0,52.0,0,6.5096865827797055e-9,2.5244096052032177e-5,2.5237586365449396e-5
CCGT-H2_53.0,53.0,0,5.512448432310953e-9,3.5563101697738025e-5,3.555758924930571e-5
OCGT-H2_53.0,53.0,0,6.519181778071273e-9,2.2693246412709686e-5,2.2686727230931615e-5
CCGT-H2_54.0,54.0,0,5.512996261837529e-9,3.842560887114187e-5,3.842009587488004e-5
OCGT-H2_54.0,54.0,0,6.5120690649560735e-9,2.4270020524216373e-5,2.4263508455151417e-5
